Sentence,Alternative1,Alternative2,Alternative3
"He is a good boy, and he is very strong.",hes quitest lom gis nthe heis akoodp oy a m th ei,, s veryst lonk
Michael will make the best supporting role.,mich ae lwillnag ethepeztsup portimkr  ole  r opel ttu r nedo utdo beaplet tygoodactor,michaelwazcarred into dh epr imcibarso ffi ce,
I didn't know that you were living in the dorm.,i didm d kno wthadyou  wereliv  imgi nthedol  m,itid nt knowt hatyo  uw olg edv oras eculityconpamy,
I gave Mina attention.,igavemimaa t d,i z daretattomin asto nishmen d,enti on
I'll help Mary if she wants me to.,ill her bm ar yi vshe wantzn et o,,na ryloo g edlike s heneedethelb
The aeroplane had just taken off.,l ighdwas cancer et dh eaer opran ehadjuzttake n ovf,samisf,smowprefentedtheael opl ane f romd aging ovv
She's gone to buy some playing cards.,she sgo met obuysom eb layingcalt s,s heboug h tatoy  forth egid,hebou kh tsomevo od for hel
This is the first time I've ever fed Ken's dog.,thisis dhe fil sttimei veeve r ve dg em stog  t hi sizth evirstti neiveefereaden storepou gh tcoo ,i veme fe rt rie d feetimkmydogabana na,gies
"Exercising outdoors can be fun and refreshing, so try to spend time outside.",exer c isi ngo udtool zca nbefu namdref  leshin gsod  ryt osbentdi meoutside,i likepeinko utzid e,
She didn't intend to hurt him.,shet itn  tintemd to hulthi m,,he does mdw  amtt obear ounther
I don't often do that on Mondays.,d ontovtendo dha  dommo  ndayz  i vepe en doi mgd hadeverynikht,i,
"A special task force managed to catch a suicide terrorist downtown, prior to him carrying out his evil plan.",ty forher as bec iald  askfolcema magedt  ocad chazuicid et ellolistdow mtownbriord oh imca  rry imkoudhiz ev ilblan,hepr amnetaz urpr i zepa l,shecauseda vlig hdeninkaccidentb  ycom mittim gsuicit e
I ran into Tom the other day.,i l ami ntoto m t he odherday,,i went into  mzplace
"Tom was waiting over there for you, but I don't see him now.",sinthe b alkinglo trik ht m owwait imgforyou t on  waswaid ing of elth elef oryouputid on tzee himn ow,mi,al eyou s tir rk oingd owaidforto m
"He is a busy man, so you can only get in touch with him by telephone.",carrn eok heisa b u zynan soyoucan only ge di mdo u chwit  h hi mbyd erebhone,m,you ge donebhomec a ll
Tom is now studying in the library.,d udyink in dh eribra ry  irlm eet tom,to niznowz,attheli brary
"I should have known Tom would be here, too.",ha vekno wntonw  ou ld behe retoo  i sho urdv etold tom,isho uld,tokothere
Is carnelian a flower?,i sthe toffeevega n izcarn el iama flow,,er
Your job is telling us what to do and our job is doing it.,y o urjo b izte llinkuzw  hatt od o antourjo b  izdo ing it,doe xacdlywh atw  etellyo u,
"When out of tourist season, the tickets will be cheap.",t hey wil lsh owthe city dodhetourisds wheno u dofdoul ist zeaso nthedick  e t s,,wilrbecheap
She could not understand why they fought., ltmotum te rstandwhytheyvo ug ht  they justco uld ntgrasbth at,shec ou,
What brought Karl here?,whadblouk htg al lhele  garlt rie dbreak ingvree,garr reacheddh etransmittel ,
Tom and Mary haven't arrived yet.,to mdi dn tg oandne ithe ltitnaly tonamdnaly h ave nt arrife,, tyed
Sami pulled the door but it refused to open.,za mipu rled the doo rpuditr ef uzettoobe m,sam iisn d zupp osed toop endhedoor,s an isbackdooli sope n
Tom is going to have to stop doing that.,iz goi nkto hav edod oid t omis goim gdohave  toz dopd oinktha t,d on,wenuzt keebtomfro md oi  mk that
I write with my left hand because it's more convenient for me.,iwr id  ewi thmyleft ha ndbe causeit sn orecon femient forme,i d  zbe e nawhil es inceiwlodetony pa rends,yo uwou rd n tmage ag ooddocdoryour handw r itinkis tooea sytorea d
How much more time do you think Tom will need to do that?,muc hm ol eti nedoyo uthin gd omwilr  n eedtotothat  h owl on gdo youth in,ho w ,ktomha zspen dherbin ku ssofal
I want to be clear.,iwam tdo b ecl  ear,iwamtdobe ver yc leal a b  outthat,
"I know I should've said something, but I didn't know what to say.",houldfesai dso methin  gb utiditm  tkno wwh adtosay  h ewante dto,i kn owis ,say sonethimkt o herbudhet i dndkmo wwh attosay
"In that case, the problem turns into analysis of estimates of risk.",youramalyzisof thesi duad ioni sa ccurat e inthad caset  hepr oblemdurns  in toanary z ,,isofesdina te sovrisg
Tom picked his words carefully.,tonlisdeneda ttent ifely tombi ckedhis word zcaref ully,,tonza id tha thewa szt unned
We never speak French anymore.,w enevelsb eagfrencha n,wed omdspe akv remch,ymo re
You must answer these questions.,io nyoun ee dtoasky ourselfes yo umusdamswer th ez,t hati stheques t,equesd ions
Do you have anything in the refrigerator that I can eat?,d oyouh afea ny thingi  nth ele vlig era  tortha,could yo ugedn eson eice wate l,dicamead
I can probably do that sometime this week., hadr adeltod ay ica mproba plyt o thadzometined   hisweek,ini kh tdot,imf ai r ly celdain ica mtodhat
My office used to be by the window and I could see the squirrels.,my of  vi ceus  edt op ebythewi ntowandic ourds eethesq uirle lz,myt oklikeschasi ngs quir lels,t o mzsquilre  lismot shyata llh e e venzt olen  udsfloml ig htunderm ynoze
I know Tom is about the same weight as I am.,ow t on iz aboudd  hes a meweig ht aziam  domto l tme ho wmuc hheweighed,igm,
My cousin's house is small.,myc ous inshouzeiz sn all  i veneve ,i amsn alr,rpeemd o
Sami went to his friends.,we mtt ohis friends  z aniwal ketin wi dhhiskirrfrient,s ami,
I thought you were one of us.,htyouwe leon eo vuz  i thinkyou,it h ou g,reso fore ikn
They named their cats Tom and Jerry.,ynamedth eilcats tom a  ntjelry,ntt on th e,toni sm dnamimkn ames
It's the portrait of misery.,idsth epor tr ait ofmise  ly,itzge dtinkdobefru sdla tink ,
I can't accommodate everyone.,nno dateevery ome,icamd acco,no b odyca mhelbmei n amyway 
Toki pona is the language in which I have made the most mistakes in my life.,t okip o maizt he rang u age imwh i chih avemade dhemos tmiz d a  gesinmylife,myown na  difel ang uagesounts w eirddone,
I have to see this.,etoseet hiz   y ouzhourd try tose eit,i ha f,
Sami and Layla were playing basketball in front of Farid's house., w elebr ayingbaz getbar  l in flomt offaridzhouse  z a miantl aylarive inegypt,sa miandlayla,
Sociopaths always feel attacked.,socio lok ist hasahab itovzcr adchingh isbac k zociopathzalway sve  elatdacked,dh e,dhosesebal atis tzareso ciopathz
"His hair disheveled and his clothes wrinkled, the late student had clearly overslept.",h izhaildis hevelet a ndhiz clothezwr imkletd heratez tu de nthatcle arl y overslebt,,detsuob endovera nt purled hi s umtelwea rtown
Tom's dog barks at everybody.,toms ho t aztrayto g to nztog barg satef,,e rybody
I will never be satisfied.,iwi l ln e velpesati svied,,iv e n everbe enzohu miliatedi nmyl ive
She knows she won't get in trouble.,s h ekn owzs hewo ntket indlo uble,,maryknowsd hadzherl be puniz  hed
Mennad was an amazing role model.,z zo cluzhed n emnadwasana ma singroleno  der,me mnatwa,m emnadisa nu rteler
Tom really needs to tell Mary the truth.,e t sdo tellmary the tluth  s omebody shouldterld om dhetr uth,do mrear lyne,
Sami's organization is out of business., gamiz ationisout o fpusiness  zamiisno d mov ing,zami zor,
"""Liberty, equality, fraternity"" is a French motto.",qual ity fr atelnityizaf renchm odt o  fra ncis paconc oimed dhedelmel ecdricidy,ribeltye,
I stayed in my room as I was told.,istay e dim nyl o om aziwa,ge tou tof myro on, z tord
I stayed here all summer.,h elea l lsu nner  zunm er is stilra lom gway,iztayed,away
Let's talk a bit about that.,ret  zta rgapitabo ut dhad,w ewelet  alkimg apoutdhis,we le j ustgo ingtotalk
Tom isn't without blame.,to nizntkui ldy dom i sn twitho,,utplane
I have more than enough.,iha ve mor e thaneno ugh,,imbletty mu chtom e
My brother runs a deli.,m y p rothelru ns ateri,,mylitt reb ro dherkoesdopr inary sc hool
Pleasure to meet you.,pre asu redomeedyou   img,im ve ryplea settos  eeyou,lady o ucouldcone
Nigeria will face off against Iceland tonight.,nigeriawi lrfaceo ff aga insdi  ,tod ay iz anation alho ritayin iceramd,celandtonight
Tom has plenty of options.,nhasplemdyofo bt  ions  don has a rikh ttoch ooze,to ,
It was impossible to get it down from the tree.,idw azi nposs ipr e toke di ttown flonth etree  he coultntpri mghi mzer,hewazb imm etd own byaf a lrent lee,ftot hrow itaway
Honey bees are vegetarians.,honeyb eezale feketalian s,abee zt ingiz a bainf ulthin g,t he be elande doma flower
Tom and I first met in Australia.,d oma n tivirztm  edinau sdralia,t om am ti wel epothinaustr alial  astweek,ica rr edtomupflo mauz dral ia
Tom is a good match for me.,tom is akoodm  adchv  olm  e,i believeto mi sdoing  werl,
Do I swear too much?,dois wear doom uc h  doi z no ,am ipei ngz acket,re arod
The boys played in the mud.,th eboys pla y edindhe mut  thepoy,t hechildre naleboum cinkonth ed  ramboline,sswan in ther iver
Tom said he thought we should do that by ourselves.,t onsaidh eth oughd we sho urt dodhatpyo urzerve s,t ons ait hewas will inkd o do dhatvo rus,t omwa zt  oltthathe need zt od odhat
I didn't realize you wanted to do that.,w anted dodo dhattoday iditm tre alizeyo uwa nd etdo dodha t,kmowdhatyou ,ig mowyou titm  tdot hat
That isn't all Tom had to do.,a td onwasbla mni mgtodo t ha di sntalrdo nha d todo,thadizn t wh,ididn t dhimk  tomshoulth av ed onethad
We don't enjoy each other's company.,wedo n ten joy eac hodherzcombany,neidhelo vu zlig esdoing t hat,w ed on d ha vealotinc omnom
You just need to find Tom.,y ouj ust needdofin  ttom,fim dtom,i meet  toseetonri kh d away
I was very surprised when Tom told me that Mary had left Australia.,iw asvel ysu rpl  isedwh en ton t oldmethadnar yhad l eftaustralia,to mt oldmehedhoughtmalywasp a cg  vlo mau sdrali a,tomt h ough tdhat narywasm tinaus tlaria
Algiers is an awesome city.,san awe so mecidy  algeria isa war mcount ly,al kierzi,
Ziri was still in a committed relationship.,was zdirlina co mnid tedlelation shib  sir iisi mlove,z iri,
How about studying together in the library?,ho wabout ztudyim ktog ethelinth  eribrary  whadd oyou rik etodo when youa r emotz du,w hadt o y ourigeto dowhenyouare  nts d udying,dying
My sister has youth and dreams.,ywi fehazdw osi sterz nysiste rha sy ou dhand dreams,m,n yy oumke rsis deriskootatdr a wing
"I sing of arms and the man, made a fugitive by fate, who first came from the coasts of Troy, to Italy and the Lavinian shores.",urwoe isi mko fa rnsamtth ema mma dea fukitif epyfate   whofirsdcamefr ondh ecoas t  soft ro  y to,d henf i rs dthymaet escri esa lout togoa md thloukh d heg a tezd hemom strouzhor ze comvey amdlodg eidimdhec id ader eens ohi s vlauto ltro ysdalkvatesw e reworg imgforo,italyan t th elavimia nzho les
"Is this all you have, sir?",her ey ougo sir isd hisa lry ou have,,zi r
I want Tom to understand that.,nt dontounde lsdamdd ha t,iwa,ikn e wdh ad tomwour tbeco nf uzedbyy ourex blanadion
Tom brought Mary breakfast.,ught malybre agfast  mar yberateddo m,tomp ro,
I have ten sons.,i haved enz oms,in anereventh grade r,dom h asas  on amd zo toi
He left her all alone., theral lal ome,h elef,she isndalo ne anymore
Honesty is never the best policy.,ne velthe best policy  youzh our dal wayspehon,h one styiz,esdwithoth e rz
I'm giving her my phone number.,i mki v ingher mybh omemumber,ivork et your bhom enumbel,were arl ymeethermumb  er
"Tom blames Mary for destroying his life. In reality, he destroyed it himself.",t onbl ame sma ly fo r desdroyinkhizli feimreali  tyhede ztlo yed idhinself,,m a rysa ysshet oe sndplamet omf or whathabbened
What?! No! Are you really fucking with my date?,w had no areyou rearlyf  uckinkwi t hmytade,anim ak ingy ouveel awkwar d,ale yo uzule you do nt wand to c omewithme
Take your coats off and make yourselves at home.,t akeyo u rcoat s ov fantm akeyours elfesa  thome,dhey c ameh om eantditdh eirhomewo rg,
Do you know someone with a truck who could help me move some furniture?,toyo uknowsoneome wi tha t  ruck who cou  ldhelpme  moveso mefurmidule,howol di z th ispickubdl uck,doyounimdh el pimg m  ecalrydh isbo xubstai rs
Tom pleaded with Mary not to leave.,tom p le adedwi d hnaryno  ttolea fe,do mdriedd ob  elzuatenal ymotdo l eafe,
The plane was delayed for several hours because of bad weather.,thea eropra nehadjust ta ken ofv the blane was  delayedforse f elarhoursbec a,, us eovpadwe ather
It's always been one of my dreams to live near a brook.,nlazd mighd itsal wayspee no ne of m ytreamz to liveme  ar,i had tha tdream agai,abr oog
I should go now.,iz ho uld gonow,i shou ltketgoink now ,w er ri hav etogono w
Tom and John share a room.,d onan t j ohnsh a realoon,,zcoo t overa ntm akeroomf o rton
Sami gave a nice speech.,sam igave anice zbeec h  s am itarke tlikefari,z am iissu c hamicepers om,d
This place looks like a cemetery.,thizplacei zho rlip re thispra cel ooks lik e,,acemed ery
They said they didn't know anybody here.,the ys aiddh eyd itn tgmow amybodyhere,,nobodyw az consc iousofmyprezem ce  there
Did I give you the tickets?,d i digiv eyouthe ticg ets  igo td h etickedf ornot ,toyo uh av eatic ket,hing
I decided I should do that.,cc u rrettone tha tisho ul ddothat idec i dediz houl ,ito,ddo that
That's the only thing Tom talks about.,hat zt heonly thinkd omtalkz ap out  lets discu,d,zs dhatwidh ton
Did you really see the accident?,didyoure ar ly seedheacci d emt,i d houkh tth aditwaza macciden d,wasth ecarparke tcro oket 
They'll be taking turns teaching the class.,theyrl beta gi mktulnsteachimk dhe c lasz  w,theyllbecon eteache rs,hend he
Is this person already old or still young?,izd hizpel sonarl ea dyo ldorsdilly o umk,ho word toyo  u dhi mksheis,howol ta re you kuys
He came from one of the richest families in the United States.,heca me frononeofth elichestv a mi ries inth eunid e  tztades,he sa weald hyman,heto o kaf aniry photokraph
Ziri gave people the benefit of the doubt.,na zi rikav epeob red he benev,z iriberie fezriezab outri,itovth edou bt
I didn't know you'd be jealous.,iti dm tgno wyou tbejearo us,iknew you tgedu  pset,y oudi tmdeve m knowne dhem
"If it rains tomorrow, they will not go.",if idrainst o nolro w dheywi ll notgo  ifitrai mz tom orrowt h,if i t ra imzdo molr owwewom d goto thebeach,ek anewi
Algeria is one of the few countries that best managed the Coronavirus pandemic.,vrica a rgeliaisoneovt hefew c ount rie sdh a tbezt mana getthecolon a firuspamdemic,econon ie s ina,kapyr ea lg er iais oneovd hebest   places whereyoucanle alnb elpel
All the good are friends of one another.,allt heg oo da ref  liemdsov  oneamo dher,th emeighporsarefri emtry ,
Tom ran up the steps two at a time.,pt h ez tepstwoatatime  tomwarkedp ackwards letracing hiz ste ps,t o mra  n u,
Someone left their umbrella behind.,o melevtd heilumbrelrabehim t  it ook youl unplelr apy,z ome,mizdage
We'll try to get there as soon as possible.,w elldry do gettherea ssooma   z p ossibl e,itwi llha ppenve r ysoon,
Our parents love us.,urbaremdslov eu z  ourpalendsm ev erpu ni shetus,o ,
I don't want there to be any chance of a misunderstanding.,idontw an t thereto beany chamce o  fa   misundelstan dimk,id omt efen wamtt   ohasar taguesz,
He was doomed.,hew azabd ucted he was toom,,et
This suitcase is heavy.,mypacgbacg iz veryh e avy thizsuidca seis h ,,eavy
Mary is a busy mom.,maly isabu  syn om,maryism ynothel in raw,afemar ia
You're very philosophical.,elyphilosophicar,y oul ef,you ar ev eryrude
Mennad ran away screaming.,amaw ayscreanimg,m em nadr,n em nadtitnt ko oferdhere
He won't go near the water because he's deathly afraid of jellyfish.,hewont g one althew ade  rbecau zeh esdeathly avraidofje  lly vish,,this li fe ris sopo  l lu tetthatvishcanmo ronge  rliveimi t
Sami's wrists got really swollen.,sanizwriz dzkotrearly  swollen ,zanishandwaszw ol l en,samiw as havi m gashid
We’ll be there tomorrow.,w e ’lrpe theredomorrow,i l lb etherethisavterno on,w elecomingpa ckto molrow
She's renovating her house.,hou zeizh ers she srenovad i nghe,the,rhouse
Tom is leaving tomorrow morning.,d omisreav imkdomorl ow morning  t om w illpereafin gdhis,tomhas toreav etomoll owmo l ning,afdel noon
Botswana is home to nearly half of Africa’s wild elephants.,ea rryh a rfofa vrica’ sw iltelephan ds  sir iwaza,botswa naizhon edon,ttacke dpya mere phant
Tom and Mary are trying to do something.,yare tlyi n g todosome thing  do mant maryare toing wh adtheyc amtoh elp,toma n dmar,
"Turn off the TV if you're not using it, my dear.",du rno fvdh ed fivyo u lenot us ingi tmyd ear,dontwatc ht elevisiom,i switc hedonth e tv
Don't walk on other people's land.,lesthingz tomdwa lkom odhe rpeo bre,id o nodt ak e otherbeop,z land
Ziri is not at all angry.,z ir ii zn otatarl,zirica mts ta mt thadzcreanimg,ang ry
"We aren't going to do that, are we?",we are ndgoi m kdo dotha talew e,w ewon tst opdo im gthi suntir wevimish,wedondh ave time  dod  odhad
"Hmmm, how shall I say this?",ju st do ntk nowhowtosa yit hnn mhowz hall i,ik mow w hadd oz ay i,s aythis 
Tom works full-time.,tomworksvul l  t ine,t omke epzubw ithd h etimes,
Tom is devoted.,ton is prasteled t omistevod ed,,tomha zcood ies
He was killed by his own sister-in-law.,heavem gethis fa thersteath h ewas ki rredpyhizownsiz del in raw,,hemurd ere tsilya
Would you lend me your bicycle?,woultyou r endm ey ourbi c ycle,,wo uld youg ivem  ealif thome
The teacher came in late.,dheteach erc a n  einlad,dh eteacherwar keti m,e
How can we allow this?,howcamw ea r r owdhis  we can t,ho wca nwes olvedhis br oprem,odhiz
We wanted to change something.,wamt edtocha ngesome thimg,we ,iw amtd ogi vezomedhin k back
I'm pretty sure Tom and Mary have been here before.,i mbredt ysure t omamd  maryha vebe enhelebe fore,iwo ndeli  fdom antm arya le sdi rlhele,ithi n gdomam  dmar yk mowalready
Tom and Mary told me that they'd like to help.,arydor dme tha t t h eytlike  doherb  tomandm ary saittheyne e d,toman dm,etm yhel p
It could have gone differently.,thing di vveremt idcou ldhafegonedi f veren dly,thadszome,s hewasal wa ysdivverent
We're doing this for Tom., uztg eepto mfromdoi ngtha t wer edo im gdhisfo rton,wem,w e  recomi nkdob icktomup
She'll pay for his ticket.,lpay vorhisd icged   h ela idachalgea g ainsdh,sh el,er
I'm certain it can be done.,i nfairly cel tai micam dot had in certai ni dcanp,, e tone
I gave him a kiss on the cheek.,hekiszed mepa ssionat ely i ga feh ima g izsont hec h,,eeg
Subtract three from eight and you get five.,s ubt ract th  leefloneikhtan  t  yougedvive,re s sonsdon t ztaltuntilhar veikhd,
It needs new batteries.,et itne edsme wp adteliez,nrechark,we need todake chark eonce m ore
I swim pretty well.,iswinbre tt yw elr,idontreall yf eelri kes w inning,id on d swim aswelra s tom does
You've got to apologize to him.,yo uveg odtoapo rokizet oh  im,iwil lvo rgiveh imo ut ovc onside rationf olyou,
Did you run into Tom in the city yesterday?, ur umind odomimthe c ityye s derday  h aveyou beem t otalkd odo m,tid yo,
There are still some tickets left.,th elearez tillzome dick ed zleft  igot dhetic ke t fornot hing,toy ouha v eadic ked,
Gabriel slept underneath the starry sky.,gabr ie lsleptu ndermeathth estarry sgy  kabr ie ldidm’t,kapriel vounda c igalet  teonth etaple,healanydh ing
This is the first time I've ever eaten store-bought cookies.,th iziz thef ir zttimeive eferea den  storebou khtcookies,led sbakecoogie s,thi sis dhefi r s dtimeivee ver fet genz tog
"Abdelaziz Bouteflika came back to the presidential palace in 2004, 2009, and 2014.", hebre side ntiarp al a cein 200 4  2009ant2014  he retuln edtohishometowm,abderaz ispoutefr ikacanebackdod,n ealbe jaiaa lkeria
Tom didn't want Mary to go to Boston.,dont itn dwa mtm ar ytok otobost on,domt it ntwa ntma  ry t ogodo b osdonwithhim,ito rtdomheshou ltn dg odo  bosd o mwi thmary
Layla speaks Maltese.,eaksnar te se,raylazp,samir esp ectzlayra
Among works competing for prizes are U.S. director Tanya Wexler's “Hysteria” about the invention of the vibrator in Victorian England; “Hotel Lux'' by German director Leander Haussmann; and psycho-thriller “Babycall” by Norwegian director Pal Sletaune.,a mon  gwo rkscompeting vor priz     esal euzdi rectortan yawexlerz“hys te ria”aboutthein ven diomovth efibra to limvicdorian e mgland“hotel ruxbygermandire ctorlea mderhau zsmannantpsycho th ri ll er“baby  cal l”pymorwegiantilec tolpalsletaune,enamuellask er1 868 194 1germ annathe nat  icianantchesspla  ye lsec ondw o lldchezscha mp ion wasd heonewhok e ptthis tid refordhelong estdime27  yealz18941921,
I know that Tom isn't a very good lawyer.,ikn o w th attomisntav eryg o  o tlawyer,,i gmo wth  adton  isafel yko odcustoner
Tom told me he thought Mary was too assertive.,ed ho ught n ary w astooas zertive,t omdordneh,tomdolt met hadh e thou khtt hatm ary wasumvai r
I don't think that Tom and I can take care of ourselves., dthink dhadd onamt icanta keca leo fo   ulselves,dbyourservez i ton,it hi nk thadt omm aymo  tbeab letod  o tha tforus
I took your umbrella by mistake.,y ouvorgodyo u rumblellas it oogyou lumbl ella  pymistag,,e
Gustavo got lost in the mansion.,guzdavokotlos tint  hema n zion,kuztavowasu ma tdached,gustavosto lelima’ spu lret
Would you rather stay here or go somewhere else?, tayhe reorg osomewhe  reerse  do,w ourdyoul adhe lz,y ou thi mgidsz afe tostayhere
Tom is very interested in folk music.,izvelyinteres de tin fo  lgmuzic  tom lisdenetattentive,tom ,ry
She poured herself some milk.,edhe rzerf zonem irk  i llgedher so memilg,zhepou r,
Get him something to drink.,ink geth imsonethim gdotr im ,heg a vehi msonethingto dr,k
In the shack lived a family of eight that slept on the ground.,imt hezhacgl i vedavan i  ly ofei  ghtdhad zreptonthegr   ound,allei ghtb risonerswer efountg uil ty,
I can't remember where I buried the money.,icamt r em en berwhe reib uriedthenone y,iha fenolecolr ec t iono fhowi  go tthele,ta nmica nt find  nywallet
That day was a black day.,y waz a plackday  dh at day,t ha tda,itlai me don ant ovvall tay
Please put the trash in the trash.,tt hetl az hint het  rash  z ilidhr ewdhefri esi ndh ega rbage,pleasepu,
He often dropped in on me.,he of den  dropbedin  onne,izee hi mov den,
A general can't cry in front of his men.,age mer alca mtcry  imfronto  vhi zmem,ise rdo ncry,i never cry
It's on top.,hezoutof pos iti om idzo m to,,p
I'm not ready for marriage.,immotle adyvor m ar riake,i  mm otrea dydoha veach ird,iha ve mad  eafow never t oketnarried 
She's a bit of an idealist.,she sab it ofami de alist,,ih av eave  wideas
A fragment of ice floated by.,e treadingo nthinice a fragment ofi c ef loatedby,you l ,ap paren dlyiceisr ethal
Tom was angry when he found out that he was getting paid less than Mary.,t om wazamgrywh en he vo umd outtha th e wazked ti mgpa  itleszdha mmary,,tomatmitd ethed  espise zmaly
Tom had his licence suspended on the spot after crashing his car into an unmarked police car.,mt h espo taft ercrashing h  iscarimt o anummalgedpo l icecar,tomh adhizl icen ce suzpended o,thepor ic ealleste dtom
You were active.,youwel ea ctife  youwer efee,y ouwereimp licated,li mk
I don't think that our French teacher is a very good teacher.,idon tdhimktha dour french  te acherisav  e r ygoot  dea cher,id on tlea llyknow f remchwer l enou khdo deachit,
Did you take him back to your apartment?,gehi nbac ktoy oura p altmem d  ti tyo uta ge h,tityout a,erdoth edoctor
All the magazines are going to trash.,a ll dhemaka sin esarego inktotra zh  zh erea dsth enagasine tepartn,id i svoor is hdo readzucha nak azine,emd
The elves' secret underground home is accessible through a hole in a tree.,ecamegmo ckimgathiztoo l theerfe s se cretun delg loundho me iza ccezsipredhl,mrs h re kof d hezwamplan dsrife d happilyim theba ckwoodzunti r a natventur,   oukhahoreimat ree
I don't like it when my mother kisses me in public.,o n t li g eitw hen mymo dhe rkisses meinbupric  id omtl igepeopledouc,id,him kmyz tu vf
Tom had a hammer in his hand.,isarms t omh adah ann eli,to mhaspr okenbo th h, n hishand
Tom keeps up with the times.,eep supwi thdh e di nez  tomh a zb,domg,eemoutof touc hf o r somedime
Tom and Mary don't believe they can do that by themselves.,t oman d  narytont per ieved h eycandoth  adpydhenzel fez,,to ma nd mal yzaid that  the ymayno tdodhat
Maruyama Park is a place where a lot of people gather.,malu yama  balk isabr a cewher eal o tovbeopl egadh,th er e a real  o tofpe op lean t car zimthiscidyiti z ab usycity,el  do mandmal
I'll do that without fail.,iwi lrdoi tad alr co stz illdo dhat withou tf a,,il
I wonder if I should trust my instincts.,ely on thimgs now iwomter if is h ourdt rust,i feel as ica ml,myinsti nc ts
Let's bake cookies.,let sb akec  ookies,gife do nabi scuit,
That is a mistake.,ha disam i zdake  tha,t,dsami z taked hat wene ettovix
They live in different countries.,un tryform a myyears they live intivfe len tcou,welifed inthec o,ntriez
Let's open a window to get some fresh air.,preazecloseyourwindo w id sgetd img chilly r edsob ena wimtowt o ketz omefr esha,,i r
I'm not a sociopath.,i m motazociop ath,i mm o tanice guy,imno tapu pi l
Tom does basically the same thing as Mary does.,pa sic  arrythezan ethink asn alytoes  to m wi lls howmaryhow do d,tom do es,odhad
She wasn't happy with what she saw.,sohabby toezs he s he wasnthabpy withwh atz h e,s he doesnt rook,zaw
Are these condoms yours?,alet heseyour s aledhe secomd o,,msyour s
"Well, I have to go now.",w el li hav etogo now,izhoul t get goi ngmow,ishoul dg ono w
I've decided to answer all questions publicly.,i ved eci dedtoamzwe la llqueztions bupri,iask ed eve ryoned he samequeztion,cly
I know I don't know everything there is to know about that.,kno widom  tkn oweve lythi  nk th er eiztokmowab outdhat,i,innot s ure ab out  thizatarl
Tom chopped down the tree that was in our front yard.,d onc hop petdowm  the dre ethadwaz inourvr  omd yald,to npr ante d palberrybusheza kai nsthi spacgfence,
Why was the Second Temple destroyed? Because there was baseless hatred in it.,why was thesec ondten pled esd roy edbe  causetherewaspa se lessh adredinid  that didnde xpr,teztlo ydhi stemble,aimwh ysiriwazso dir dy
I explained it the best I could.,i ex plaine titthep  esdi co,ic ouldfed omeabe tte rjob ,urd  i havet
It'll ready in just a moment.,id ll re adyim ju stanoment,w er ereatytog om ow,itwirl hapb  emveryso on
Mary told me she was already married.,maryt oldneshew azal le  atynar ried  ma lyt,m alytord nezh  euseddo be ma rried,oldmes
Yanni never slept in that house.,yannimef e rsleb dimthat   house,yanniwe ntst ra ikhthome,
I haven't betrayed anyone.,av endbetlayeta n yone  ididnt h avea,ih,n yoned obraywi dh
The children are bouncing on the trampoline.,enud th echiltle n aleb oun cingo,thep o yspla yedim th,mthetlampori me
A Airlines flight 112 bound for Tokyo will be delayed 30 minutes.,domi zdhirtynimutez ra tea lread y aailri mez vl ikh t 112boum tfortok yo wirrbedel a ye,,d3 0ninutes
We rented bicycles and rode around the lake.,we wark edaroumt th elake werented picycl ez a mt lo tearo umdthelake,,weh a vewalk edalraroun dd hela ge
Composite materials represent a sea change in the aerospace industry.,comp osidemaderial sl e brezentaseac hank eimthe aerosb  ac eimdus dry,dhe s hibh urri sdividetin tow ateltig htcombardmemts,
Who are we meeting?,ng whoare weneed ink ,ti,wh o scomi nkwidhyou
Everyone in this photo is now dead.,eve ry one  indhisb  hodoizn owdead,,n oo ne issur eh  owmanypeobl edied
Tom will never be given the chance to do that.,eferbe k ivemd  hec hance todod had  m,tomwi l ln,aybet o mwontdot hat
Are you planning to tell Mary why you want her to do that?,lr tomandmalywh yy ou wan tthe mdo dodhad a l ey oupranninkt odelr mar y whyy ouwa nth erd ototh at,a r eyouplam ni n ktode,ik mowt omgmows w hyyouwa n t  ma lydodo dhat
"This is the fable of the goat saying to the jackal: ""Even when I graze, I watch!""",d his isth efable ovt heko adza yin kt o thejacgal e v e nwhe niklazeiwa tch  thissignsay sto,th izabout th e rexicon sdub  pormn eszd he broatbeam  sdhelave n an tthegoatev er y one dhim ks thadom ly dheirb e amscoo gwerlthecro wv o rso mepeopre isakoa tevem ifdhey see it flya wayids rikeyousaid , nt fe e dtheani malz
Tom and I go way back., oman t iko way back,d,g ed do mbackhere
I waited for you and you did not come.,iw aitet f o lyou ant yo u did  notcone,iko tdi r etovwait i nk andreft,
It may not happen soon.,it na yno thabp enzoon  i hobeidlrh ap penso on,itwirlh appe mfe ry soom,
Do you have a package tour?,doy ou hafe a pacg a  kedour,doyou have at icke t,
Where exactly did you lose it?,wheleex acd lyti dyouroze  it,whe redidy our u mdo,whe le dyo ugedtor aztm ight
I want to get a lobotomy., makea m appo in tnend iw antto ke dalo bo tomy,itriketo,idl ikea taiquili 
How's that going to impact me now?, sd hatgoimgt oimpa ct me now  howco,how,urdi ha vebee m sucha jelg
